/* DATA DESCRIPTION:
Citation:	Wirth, Stefanie B; Glur, Lukas; Gilli, Adrian; Anselmetti, Flavio S (2013): Holocene flood activity data for the Northern and Southern Central Alps reconstructed from lake sediments. PANGAEA, https://doi.org/10.1594/PANGAEA.823415, 
	In supplement to: Wirth, SB et al. (2013): Holocene flood frequency across the Central Alps - solar forcing and evidence for variations in North Atlantic atmospheric circulation. Quaternary Science Reviews, 80, 112-128, https://doi.org/10.1016/j.quascirev.2013.09.002
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Flood activity [%] (Flood act) * PI: Wirth, Stefanie B (https://orcid.org/0000-0002-1276-8506, stefanie.wirth@alumni.ethz.ch) * METHOD/DEVICE: Lowpass filtered, 100a * COMMENT: Northern Alps (optional Event Labels N1 to N10)
	Flood activity [%] (Flood act) * PI: Wirth, Stefanie B (https://orcid.org/0000-0002-1276-8506, stefanie.wirth@alumni.ethz.ch) * METHOD/DEVICE: Lowpass filtered, 100a * COMMENT: Southern Alps (optional Event Labels S1 to S5)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	20122 data points
*/
Age [ka BP]	Flood act [%] (Northern Alps (optional Event...)	Flood act [%] (Southern Alps (optional Event...)
1.052	19.81	67.94
1.053	20.01	68.22
1.054	20.28	68.49
1.055	20.61	68.74
1.056	21.01	68.98
1.057	21.48	69.19
1.058	22.02	69.38
1.059	22.62	69.56
1.060	23.28	69.70
1.061	24.01	69.83
1.062	24.79	69.93
1.063	25.64	70.00
1.064	26.54	70.05
1.065	27.49	70.07
1.066	28.49	70.06
1.067	29.54	70.03
1.068	30.62	69.96
1.069	31.74	69.88
1.070	32.88	69.76
1.071	34.06	69.62
1.072	35.26	69.45
1.073	36.50	69.26
1.074	37.75	69.05
1.075	39.03	68.81
1.076	40.33	68.56
1.077	41.65	68.30
1.078	42.97	68.01
1.079	44.30	67.72
1.080	45.63	67.41
1.081	46.95	67.10
1.082	48.26	66.77
1.083	49.54	66.44
1.084	50.80	66.11
1.085	52.01	65.77
1.086	53.19	65.44
1.087	54.31	65.10
1.088	55.38	64.76
1.089	56.38	64.42
1.090	57.32	64.08
1.091	58.18	63.75
1.092	58.96	63.42
1.093	59.65	63.09
1.094	60.25	62.77
1.095	60.76	62.45
1.096	61.19	62.13
1.097	61.53	61.82
1.098	61.81	61.53
1.099	62.03	61.24
1.100	62.18	60.96
1.101	62.28	60.70
1.102	62.32	60.45
1.103	62.31	60.21
1.104	62.26	59.99
1.105	62.16	59.79
1.106	62.04	59.60
1.107	61.88	59.43
1.108	61.69	59.28
1.109	61.48	59.14
1.110	61.25	59.02
1.111	60.99	58.91
1.112	60.70	58.81
1.113	60.40	58.73
1.114	60.08	58.65
1.115	59.74	58.59
1.116	59.38	58.55
1.117	59.00	58.51
1.118	58.61	58.48
1.119	58.21	58.46
1.120	57.79	58.45
1.121	57.35	58.44
1.122	56.91	58.44
1.123	56.45	58.43
1.124	55.99	58.42
1.125	55.53	58.41
1.126	55.06	58.40
1.127	54.60	58.37
1.128	54.14	58.34
1.129	53.69	58.28
1.130	53.25	58.22
1.131	52.81	58.13
1.132	52.39	58.02
1.133	51.97	57.88
1.134	51.56	57.72
1.135	51.16	57.53
1.136	50.75	57.30
1.137	50.34	57.05
1.138	49.92	56.76
1.139	49.50	56.44
1.140	49.07	56.08
1.141	48.64	55.70
1.142	48.21	55.27
1.143	47.78	54.82
1.144	47.34	54.33
1.145	46.90	53.81
1.146	46.46	53.27
1.147	46.01	52.71
1.148	45.56	52.13
1.149	45.12	51.53
1.150	44.69	50.93
1.151	44.28	50.32
1.152	43.88	49.71
1.153	43.51	49.09
1.154	43.18	48.48
1.155	42.88	47.87
1.156	42.62	47.27
1.157	42.40	46.68
1.158	42.22	46.09
1.159	42.09	45.51
1.160	42.00	44.94
1.161	41.96	44.38
1.162	41.96	43.83
1.163	42.00	43.30
1.164	42.09	42.77
1.165	42.21	42.26
1.166	42.36	41.77
1.167	42.54	41.30
1.168	42.75	40.85
1.169	42.99	40.42
1.170	43.24	40.01
1.171	43.51	39.62
1.172	43.78	39.25
1.173	44.06	38.90
1.174	44.33	38.57
1.175	44.59	38.27
1.176	44.83	37.98
1.177	45.06	37.72
1.178	45.26	37.48
1.179	45.43	37.27
1.180	45.58	37.07
1.181	45.71	36.89
1.182	45.81	36.74
1.183	45.88	36.60
1.184	45.92	36.48
1.185	45.93	36.38
1.186	45.91	36.29
1.187	45.87	36.22
1.188	45.79	36.17
1.189	45.69	36.14
1.190	45.56	36.13
1.191	45.39	36.14
1.192	45.19	36.16
1.193	44.96	36.21
1.194	44.69	36.27
1.195	44.40	36.35
1.196	44.08	36.45
1.197	43.75	36.56
1.198	43.40	36.69
1.199	43.05	36.85
1.200	42.69	37.01
1.201	42.33	37.20
1.202	41.98	37.39
1.203	41.63	37.61
1.204	41.30	37.84
1.205	40.98	38.08
1.206	40.68	38.33
1.207	40.40	38.60
1.208	40.15	38.87
1.209	39.92	39.15
1.210	39.72	39.43
1.211	39.55	39.72
1.212	39.41	40.01
1.213	39.29	40.30
1.214	39.21	40.58
1.215	39.15	40.87
1.216	39.12	41.15
1.217	39.11	41.42
1.218	39.14	41.68
1.219	39.18	41.94
1.220	39.25	42.18
1.221	39.35	42.40
1.222	39.46	42.61
1.223	39.60	42.80
1.224	39.76	42.98
1.225	39.93	43.14
1.226	40.11	43.27
1.227	40.29	43.39
1.228	40.48	43.48
1.229	40.67	43.55
1.230	40.86	43.59
1.231	41.03	43.60
1.232	41.19	43.59
1.233	41.35	43.56
1.234	41.50	43.51
1.235	41.64	43.44
1.236	41.78	43.35
1.237	41.92	43.25
1.238	42.04	43.14
1.239	42.17	43.02
1.240	42.29	42.89
1.241	42.42	42.76
1.242	42.55	42.62
1.243	42.68	42.49
1.244	42.83	42.35
1.245	42.99	42.21
1.246	43.16	42.06
1.247	43.34	41.92
1.248	43.53	41.78
1.249	43.73	41.63
1.250	43.93	41.49
1.251	44.14	41.34
1.252	44.36	41.20
1.253	44.57	41.06
1.254	44.80	40.93
1.255	45.02	40.80
1.256	45.26	40.67
1.257	45.50	40.55
1.258	45.74	40.44
1.259	45.99	40.33
1.260	46.25	40.23
1.261	46.50	40.14
1.262	46.76	40.05
1.263	47.01	39.97
1.264	47.26	39.89
1.265	47.51	39.82
1.266	47.75	39.75
1.267	47.99	39.69
1.268	48.22	39.63
1.269	48.44	39.58
1.270	48.65	39.54
1.271	48.85	39.51
1.272	49.03	39.49
1.273	49.19	39.48
1.274	49.33	39.48
1.275	49.44	39.50
1.276	49.53	39.54
1.277	49.59	39.59
1.278	49.63	39.66
1.279	49.65	39.75
1.280	49.66	39.85
1.281	49.66	39.97
1.282	49.65	40.10
1.283	49.64	40.25
1.284	49.62	40.41
1.285	49.59	40.58
1.286	49.55	40.77
1.287	49.51	40.96
1.288	49.47	41.16
1.289	49.42	41.36
1.290	49.37	41.56
1.291	49.33	41.75
1.292	49.28	41.95
1.293	49.24	42.13
1.294	49.19	42.31
1.295	49.15	42.47
1.296	49.10	42.62
1.297	49.06	42.76
1.298	49.01	42.89
1.299	48.96	43.00
1.300	48.92	43.09
1.301	48.87	43.18
1.302	48.82	43.25
1.303	48.76	43.30
1.304	48.70	43.35
1.305	48.64	43.39
1.306	48.58	43.42
1.307	48.51	43.44
1.308	48.43	43.45
1.309	48.36	43.45
1.310	48.29	43.43
1.311	48.23	43.41
1.312	48.18	43.38
1.313	48.15	43.34
1.314	48.13	43.30
1.315	48.13	43.25
1.316	48.15	43.19
1.317	48.19	43.13
1.318	48.25	43.06
1.319	48.34	42.99
1.320	48.46	42.91
1.321	48.60	42.83
1.322	48.79	42.74
1.323	49.02	42.65
1.324	49.30	42.55
1.325	49.63	42.45
1.326	50.01	42.35
1.327	50.45	42.24
1.328	50.93	42.13
1.329	51.48	42.02
1.330	52.08	41.90
1.331	52.74	41.78
1.332	53.46	41.65
1.333	54.23	41.51
1.334	55.06	41.37
1.335	55.93	41.21
1.336	56.86	41.05
1.337	57.82	40.87
1.338	58.83	40.69
1.339	59.86	40.50
1.340	60.91	40.30
1.341	61.98	40.10
1.342	63.06	39.89
1.343	64.15	39.68
1.344	65.24	39.46
1.345	66.33	39.23
1.346	67.41	39.00
1.347	68.47	38.76
1.348	69.50	38.52
1.349	70.50	38.27
1.350	71.46	38.02
1.351	72.37	37.77
1.352	73.22	37.52
1.353	74.02	37.26
1.354	74.76	37.00
1.355	75.43	36.74
1.356	76.03	36.48
1.357	76.56	36.22
1.358	77.03	35.96
1.359	77.42	35.71
1.360	77.74	35.46
1.361	77.98	35.21
1.362	78.14	34.97
1.363	78.21	34.73
1.364	78.20	34.49
1.365	78.10	34.25
1.366	77.92	34.01
1.367	77.65	33.77
1.368	77.31	33.54
1.369	76.89	33.30
1.370	76.40	33.06
1.371	75.84	32.81
1.372	75.22	32.57
1.373	74.55	32.32
1.374	73.81	32.08
1.375	73.03	31.83
1.376	72.19	31.57
1.377	71.30	31.32
1.378	70.36	31.07
1.379	69.38	30.81
1.380	68.36	30.55
1.381	67.29	30.29
1.382	66.19	30.03
1.383	65.06	29.77
1.384	63.89	29.51
1.385	62.71	29.25
1.386	61.51	29.00
1.387	60.29	28.74
1.388	59.07	28.49
1.389	57.84	28.25
1.390	56.62	28.01
1.391	55.40	27.78
1.392	54.21	27.56
1.393	53.03	27.35
1.394	51.88	27.15
1.395	50.76	26.97
1.396	49.66	26.80
1.397	48.59	26.65
1.398	47.55	26.51
1.399	46.54	26.39
1.400	45.56	26.28
1.401	44.61	26.19
1.402	43.69	26.11
1.403	42.79	26.05
1.404	41.93	25.99
1.405	41.11	25.96
1.406	40.31	25.93
1.407	39.54	25.92
1.408	38.80	25.93
1.409	38.09	25.94
1.410	37.41	25.98
1.411	36.77	26.02
1.412	36.16	26.08
1.413	35.58	26.16
1.414	35.04	26.25
1.415	34.53	26.35
1.416	34.05	26.47
1.417	33.60	26.61
1.418	33.18	26.76
1.419	32.79	26.93
1.420	32.43	27.11
1.421	32.09	27.31
1.422	31.79	27.52
1.423	31.53	27.74
1.424	31.29	27.96
1.425	31.09	28.20
1.426	30.92	28.45
1.427	30.78	28.70
1.428	30.68	28.96
1.429	30.62	29.23
1.430	30.58	29.50
1.431	30.58	29.77
1.432	30.61	30.05
1.433	30.68	30.34
1.434	30.77	30.63
1.435	30.90	30.92
1.436	31.06	31.21
1.437	31.24	31.51
1.438	31.46	31.81
1.439	31.70	32.11
1.440	31.97	32.41
1.441	32.26	32.72
1.442	32.58	33.03
1.443	32.93	33.34
1.444	33.30	33.65
1.445	33.69	33.96
1.446	34.11	34.27
1.447	34.54	34.59
1.448	35.00	34.91
1.449	35.47	35.23
1.450	35.96	35.56
1.451	36.46	35.89
1.452	36.97	36.23
1.453	37.50	36.58
1.454	38.04	36.93
1.455	38.58	37.30
1.456	39.13	37.66
1.457	39.68	38.04
1.458	40.23	38.41
1.459	40.77	38.80
1.460	41.30	39.19
1.461	41.82	39.58
1.462	42.32	39.98
1.463	42.81	40.38
1.464	43.27	40.78
1.465	43.72	41.19
1.466	44.14	41.61
1.467	44.54	42.03
1.468	44.91	42.45
1.469	45.25	42.88
1.470	45.57	43.31
1.471	45.85	43.75
1.472	46.11	44.19
1.473	46.35	44.62
1.474	46.57	45.06
1.475	46.76	45.49
1.476	46.94	45.91
1.477	47.10	46.33
1.478	47.25	46.73
1.479	47.38	47.13
1.480	47.50	47.51
1.481	47.60	47.87
1.482	47.69	48.22
1.483	47.76	48.55
1.484	47.81	48.86
1.485	47.85	49.15
1.486	47.86	49.41
1.487	47.85	49.66
1.488	47.83	49.88
1.489	47.78	50.08
1.490	47.72	50.26
1.491	47.65	50.42
1.492	47.56	50.55
1.493	47.47	50.66
1.494	47.37	50.75
1.495	47.27	50.81
1.496	47.16	50.84
1.497	47.05	50.85
1.498	46.93	50.82
1.499	46.80	50.76
1.500	46.67	50.66
1.501	46.52	50.53
1.502	46.36	50.37
1.503	46.19	50.18
1.504	45.99	49.96
1.505	45.77	49.72
1.506	45.53	49.46
1.507	45.26	49.17
1.508	44.95	48.86
1.509	44.60	48.54
1.510	44.22	48.20
1.511	43.79	47.85
1.512	43.34	47.48
1.513	42.85	47.11
1.514	42.35	46.72
1.515	41.82	46.32
1.516	41.28	45.91
1.517	40.74	45.50
1.518	40.18	45.08
1.519	39.63	44.67
1.520	39.07	44.25
1.521	38.51	43.84
1.522	37.95	43.43
1.523	37.39	43.03
1.524	36.84	42.63
1.525	36.29	42.25
1.526	35.75	41.88
1.527	35.22	41.52
1.528	34.71	41.18
1.529	34.21	40.85
1.530	33.73	40.53
1.531	33.28	40.23
1.532	32.85	39.95
1.533	32.45	39.69
1.534	32.07	39.44
1.535	31.72	39.20
1.536	31.39	38.98
1.537	31.09	38.78
1.538	30.81	38.59
1.539	30.55	38.41
1.540	30.30	38.24
1.541	30.07	38.08
1.542	29.84	37.94
1.543	29.63	37.80
1.544	29.42	37.66
1.545	29.23	37.53
1.546	29.05	37.40
1.547	28.87	37.28
1.548	28.71	37.15
1.549	28.56	37.03
1.550	28.43	36.90
1.551	28.30	36.77
1.552	28.18	36.64
1.553	28.08	36.51
1.554	28.00	36.38
1.555	27.94	36.25
1.556	27.91	36.12
1.557	27.91	35.99
1.558	27.93	35.87
1.559	27.99	35.74
1.560	28.09	35.63
1.561	28.22	35.51
1.562	28.38	35.40
1.563	28.59	35.30
1.564	28.84	35.21
1.565	29.12	35.12
1.566	29.45	35.04
1.567	29.82	34.96
1.568	30.24	34.90
1.569	30.69	34.84
1.570	31.18	34.78
1.571	31.71	34.73
1.572	32.27	34.68
1.573	32.86	34.64
1.574	33.48	34.60
1.575	34.13	34.56
1.576	34.79	34.53
1.577	35.47	34.50
1.578	36.17	34.47
1.579	36.88	34.44
1.580	37.60	34.42
1.581	38.33	34.39
1.582	39.05	34.37
1.583	39.78	34.34
1.584	40.50	34.32
1.585	41.20	34.29
1.586	41.89	34.26
1.587	42.56	34.23
1.588	43.20	34.19
1.589	43.82	34.16
1.590	44.41	34.12
1.591	44.98	34.08
1.592	45.54	34.04
1.593	46.07	34.00
1.594	46.59	33.95
1.595	47.08	33.90
1.596	47.56	33.85
1.597	48.02	33.81
1.598	48.45	33.76
1.599	48.86	33.71
1.600	49.23	33.66
1.601	49.58	33.61
1.602	49.88	33.56
1.603	50.15	33.52
1.604	50.37	33.47
1.605	50.54	33.43
1.606	50.66	33.39
1.607	50.72	33.36
1.608	50.74	33.33
1.609	50.69	33.31
1.610	50.60	33.30
1.611	50.46	33.29
1.612	50.27	33.28
1.613	50.03	33.29
1.614	49.76	33.30
1.615	49.43	33.32
1.616	49.07	33.34
1.617	48.65	33.37
1.618	48.19	33.41
1.619	47.69	33.45
1.620	47.13	33.50
1.621	46.53	33.55
1.622	45.90	33.61
1.623	45.23	33.68
1.624	44.53	33.76
1.625	43.80	33.84
1.626	43.06	33.93
1.627	42.30	34.02
1.628	41.52	34.12
1.629	40.74	34.23
1.630	39.94	34.34
1.631	39.13	34.46
1.632	38.32	34.57
1.633	37.50	34.69
1.634	36.66	34.81
1.635	35.83	34.93
1.636	34.98	35.05
1.637	34.13	35.16
1.638	33.28	35.27
1.639	32.44	35.38
1.640	31.60	35.47
1.641	30.78	35.56
1.642	29.97	35.64
1.643	29.18	35.70
1.644	28.40	35.76
1.645	27.65	35.81
1.646	26.93	35.85
1.647	26.22	35.87
1.648	25.55	35.89
1.649	24.90	35.90
1.650	24.28	35.89
1.651	23.69	35.88
1.652	23.13	35.86
1.653	22.60	35.83
1.654	22.10	35.78
1.655	21.64	35.73
1.656	21.20	35.67
1.657	20.80	35.59
1.658	20.43	35.51
1.659	20.08	35.42
1.660	19.77	35.32
1.661	19.48	35.22
1.662	19.22	35.12
1.663	18.99	35.01
1.664	18.78	34.91
1.665	18.60	34.80
1.666	18.44	34.69
1.667	18.31	34.58
1.668	18.20	34.48
1.669	18.12	34.37
1.670	18.06	34.27
1.671	18.02	34.18
1.672	18.01	34.08
1.673	18.00	34.00
1.674	18.02	33.91
1.675	18.05	33.83
1.676	18.09	33.76
1.677	18.14	33.70
1.678	18.20	33.64
1.679	18.27	33.59
1.680	18.35	33.55
1.681	18.43	33.52
1.682	18.53	33.51
1.683	18.62	33.51
1.684	18.72	33.53
1.685	18.82	33.57
1.686	18.92	33.62
1.687	19.02	33.70
1.688	19.12	33.79
1.689	19.22	33.90
1.690	19.31	34.03
1.691	19.40	34.17
1.692	19.47	34.34
1.693	19.54	34.52
1.694	19.60	34.72
1.695	19.63	34.94
1.696	19.65	35.17
1.697	19.65	35.42
1.698	19.62	35.68
1.699	19.57	35.96
1.700	19.50	36.25
1.701	19.41	36.56
1.702	19.30	36.88
1.703	19.17	37.20
1.704	19.03	37.54
1.705	18.87	37.88
1.706	18.69	38.24
1.707	18.51	38.60
1.708	18.31	38.97
1.709	18.10	39.35
1.710	17.88	39.73
1.711	17.66	40.11
1.712	17.43	40.50
1.713	17.19	40.90
1.714	16.95	41.29
1.715	16.71	41.69
1.716	16.46	42.08
1.717	16.21	42.47
1.718	15.95	42.86
1.719	15.69	43.23
1.720	15.43	43.60
1.721	15.17	43.96
1.722	14.92	44.31
1.723	14.68	44.64
1.724	14.46	44.95
1.725	14.25	45.25
1.726	14.07	45.53
1.727	13.90	45.78
1.728	13.77	46.01
1.729	13.66	46.20
1.730	13.59	46.37
1.731	13.54	46.51
1.732	13.53	46.61
1.733	13.55	46.68
1.734	13.61	46.71
1.735	13.70	46.71
1.736	13.82	46.68
1.737	13.98	46.61
1.738	14.17	46.52
1.739	14.40	46.39
1.740	14.65	46.25
1.741	14.93	46.07
1.742	15.25	45.88
1.743	15.58	45.66
1.744	15.94	45.43
1.745	16.32	45.19
1.746	16.71	44.93
1.747	17.12	44.65
1.748	17.54	44.37
1.749	17.96	44.08
1.750	18.40	43.77
1.751	18.84	43.46
1.752	19.29	43.15
1.753	19.75	42.83
1.754	20.21	42.50
1.755	20.68	42.17
1.756	21.16	41.84
1.757	21.65	41.50
1.758	22.14	41.17
1.759	22.63	40.84
1.760	23.13	40.52
1.761	23.64	40.20
1.762	24.15	39.89
1.763	24.66	39.59
1.764	25.18	39.31
1.765	25.70	39.04
1.766	26.21	38.80
1.767	26.73	38.56
1.768	27.24	38.35
1.769	27.75	38.17
1.770	28.25	38.00
1.771	28.76	37.86
1.772	29.25	37.74
1.773	29.74	37.65
1.774	30.23	37.57
1.775	30.71	37.52
1.776	31.19	37.49
1.777	31.67	37.49
1.778	32.15	37.50
1.779	32.63	37.53
1.780	33.12	37.57
1.781	33.62	37.63
1.782	34.12	37.70
1.783	34.63	37.78
1.784	35.16	37.87
1.785	35.70	37.97
1.786	36.26	38.07
1.787	36.84	38.18
1.788	37.44	38.29
1.789	38.06	38.39
1.790	38.72	38.50
1.791	39.40	38.61
1.792	40.10	38.71
1.793	40.84	38.82
1.794	41.60	38.92
1.795	42.38	39.03
1.796	43.18	39.13
1.797	44.00	39.23
1.798	44.84	39.33
1.799	45.70	39.44
1.800	46.56	39.54
1.801	47.44	39.64
1.802	48.31	39.74
1.803	49.19	39.84
1.804	50.06	39.93
1.805	50.92	40.03
1.806	51.76	40.13
1.807	52.58	40.24
1.808	53.37	40.35
1.809	54.12	40.46
1.810	54.83	40.58
1.811	55.49	40.71
1.812	56.09	40.85
1.813	56.62	40.99
1.814	57.08	41.14
1.815	57.46	41.30
1.816	57.76	41.47
1.817	57.99	41.64
1.818	58.14	41.82
1.819	58.22	42.01
1.820	58.23	42.20
1.821	58.17	42.40
1.822	58.04	42.61
1.823	57.84	42.82
1.824	57.56	43.04
1.825	57.20	43.27
1.826	56.75	43.49
1.827	56.22	43.73
1.828	55.59	43.96
1.829	54.88	44.19
1.830	54.09	44.42
1.831	53.22	44.65
1.832	52.29	44.88
1.833	51.30	45.10
1.834	50.27	45.31
1.835	49.20	45.51
1.836	48.10	45.71
1.837	46.99	45.89
1.838	45.86	46.07
1.839	44.73	46.24
1.840	43.59	46.39
1.841	42.47	46.53
1.842	41.36	46.65
1.843	40.26	46.76
1.844	39.19	46.86
1.845	38.14	46.94
1.846	37.12	47.01
1.847	36.12	47.06
1.848	35.16	47.09
1.849	34.22	47.10
1.850	33.31	47.10
1.851	32.44	47.07
1.852	31.58	47.03
1.853	30.76	46.96
1.854	29.95	46.87
1.855	29.18	46.76
1.856	28.42	46.63
1.857	27.70	46.48
1.858	27.00	46.31
1.859	26.33	46.11
1.860	25.70	45.88
1.861	25.11	45.64
1.862	24.55	45.37
1.863	24.03	45.07
1.864	23.56	44.76
1.865	23.14	44.43
1.866	22.77	44.09
1.867	22.45	43.73
1.868	22.20	43.36
1.869	22.00	42.99
1.870	21.86	42.61
1.871	21.78	42.23
1.872	21.77	41.85
1.873	21.82	41.48
1.874	21.93	41.10
1.875	22.10	40.73
1.876	22.34	40.37
1.877	22.63	40.01
1.878	22.99	39.66
1.879	23.39	39.30
1.880	23.85	38.96
1.881	24.36	38.62
1.882	24.91	38.28
1.883	25.51	37.95
1.884	26.15	37.63
1.885	26.82	37.31
1.886	27.53	37.01
1.887	28.26	36.71
1.888	29.02	36.42
1.889	29.80	36.14
1.890	30.60	35.87
1.891	31.42	35.60
1.892	32.24	35.35
1.893	33.06	35.10
1.894	33.88	34.86
1.895	34.69	34.63
1.896	35.48	34.40
1.897	36.24	34.17
1.898	36.97	33.95
1.899	37.65	33.73
1.900	38.27	33.51
1.901	38.83	33.30
1.902	39.32	33.08
1.903	39.72	32.86
1.904	40.04	32.64
1.905	40.28	32.42
1.906	40.44	32.19
1.907	40.52	31.96
1.908	40.53	31.72
1.909	40.46	31.47
1.910	40.32	31.22
1.911	40.12	30.97
1.912	39.84	30.71
1.913	39.50	30.45
1.914	39.11	30.20
1.915	38.65	29.94
1.916	38.15	29.68
1.917	37.60	29.43
1.918	37.02	29.18
1.919	36.40	28.94
1.920	35.74	28.70
1.921	35.05	28.46
1.922	34.34	28.24
1.923	33.59	28.01
1.924	32.83	27.79
1.925	32.03	27.58
1.926	31.22	27.37
1.927	30.40	27.17
1.928	29.57	26.97
1.929	28.75	26.78
1.930	27.93	26.60
1.931	27.12	26.42
1.932	26.33	26.24
1.933	25.56	26.08
1.934	24.81	25.92
1.935	24.10	25.77
1.936	23.41	25.64
1.937	22.77	25.51
1.938	22.16	25.39
1.939	21.59	25.29
1.940	21.06	25.21
1.941	20.57	25.13
1.942	20.12	25.08
1.943	19.72	25.04
1.944	19.36	25.02
1.945	19.03	25.01
1.946	18.75	25.03
1.947	18.51	25.06
1.948	18.30	25.10
1.949	18.12	25.16
1.950	17.98	25.24
1.951	17.87	25.33
1.952	17.78	25.43
1.953	17.71	25.55
1.954	17.67	25.68
1.955	17.65	25.82
1.956	17.66	25.98
1.957	17.68	26.14
1.958	17.71	26.32
1.959	17.76	26.50
1.960	17.83	26.70
1.961	17.90	26.90
1.962	17.98	27.11
1.963	18.06	27.33
1.964	18.13	27.56
1.965	18.20	27.80
1.966	18.26	28.05
1.967	18.30	28.30
1.968	18.32	28.56
1.969	18.32	28.84
1.970	18.30	29.11
1.971	18.24	29.40
1.972	18.17	29.69
1.973	18.07	29.98
1.974	17.94	30.27
1.975	17.79	30.56
1.976	17.62	30.85
1.977	17.43	31.14
1.978	17.23	31.42
1.979	17.01	31.70
1.980	16.78	31.97
1.981	16.55	32.24
1.982	16.30	32.50
1.983	16.05	32.76
1.984	15.80	33.00
1.985	15.54	33.24
1.986	15.28	33.46
1.987	15.03	33.68
1.988	14.78	33.88
1.989	14.53	34.06
1.990	14.29	34.24
1.991	14.05	34.40
1.992	13.83	34.54
1.993	13.61	34.66
1.994	13.41	34.77
1.995	13.23	34.87
1.996	13.06	34.94
1.997	12.91	35.00
1.998	12.79	35.05
1.999	12.68	35.07
2.000	12.61	35.08
2.001	12.55	35.07
2.002	12.53	35.04
2.003	12.53	34.99
2.004	12.55	34.92
2.005	12.61	34.83
2.006	12.68	34.73
2.007	12.79	34.60
2.008	12.92	34.46
2.009	13.09	34.30
2.010	13.28	34.12
2.011	13.50	33.93
2.012	13.74	33.71
2.013	14.02	33.48
2.014	14.32	33.24
2.015	14.65	32.98
2.016	15.00	32.71
2.017	15.37	32.43
2.018	15.78	32.14
2.019	16.20	31.84
2.020	16.65	31.55
2.021	17.12	31.25
2.022	17.62	30.95
2.023	18.13	30.66
2.024	18.66	30.38
2.025	19.21	30.11
2.026	19.77	29.84
2.027	20.35	29.59
2.028	20.95	29.36
2.029	21.55	29.14
2.030	22.16	28.93
2.031	22.78	28.74
2.032	23.41	28.57
2.033	24.04	28.42
2.034	24.67	28.28
2.035	25.30	28.16
2.036	25.93	28.06
2.037	26.57	27.97
2.038	27.19	27.90
2.039	27.82	27.84
2.040	28.43	27.80
2.041	29.04	27.77
2.042	29.63	27.75
2.043	30.20	27.74
2.044	30.76	27.74
2.045	31.31	27.75
2.046	31.86	27.76
2.047	32.40	27.78
2.048	32.94	27.81
2.049	33.48	27.84
2.050	34.02	27.88
2.051	34.57	27.92
2.052	35.11	27.97
2.053	35.66	28.03
2.054	36.22	28.09
2.055	36.77	28.15
2.056	37.33	28.23
2.057	37.89	28.31
2.058	38.45	28.39
2.059	39.01	28.48
2.060	39.57	28.58
2.061	40.12	28.68
2.062	40.66	28.79
2.063	41.20	28.91
2.064	41.73	29.03
2.065	42.25	29.16
2.066	42.76	29.29
2.067	43.26	29.42
2.068	43.75	29.55
2.069	44.23	29.69
2.070	44.68	29.83
2.071	45.12	29.97
2.072	45.55	30.11
2.073	45.96	30.26
2.074	46.36	30.42
2.075	46.76	30.58
2.076	47.15	30.74
2.077	47.53	30.91
2.078	47.90	31.09
2.079	48.27	31.27
2.080	48.62	31.46
2.081	48.97	31.65
2.082	49.30	31.85
2.083	49.62	32.04
2.084	49.92	32.24
2.085	50.20	32.44
2.086	50.46	32.63
2.087	50.69	32.83
2.088	50.91	33.02
2.089	51.10	33.21
2.090	51.27	33.40
2.091	51.41	33.59
2.092	51.52	33.76
2.093	51.61	33.94
2.094	51.66	34.11
2.095	51.69	34.28
2.096	51.68	34.44
2.097	51.65	34.60
2.098	51.59	34.76
2.099	51.49	34.91
2.100	51.37	35.06
2.101	51.22	35.20
2.102	51.04	35.35
2.103	50.84	35.48
2.104	50.62	35.62
2.105	50.38	35.76
2.106	50.12	35.89
2.107	49.84	36.02
2.108	49.55	36.14
2.109	49.24	36.27
2.110	48.93	36.39
2.111	48.59	36.51
2.112	48.25	36.63
2.113	47.88	36.74
2.114	47.51	36.86
2.115	47.12	36.97
2.116	46.72	37.08
2.117	46.32	37.19
2.118	45.91	37.30
2.119	45.50	37.41
2.120	45.09	37.52
2.121	44.67	37.64
2.122	44.26	37.76
2.123	43.85	37.88
2.124	43.44	38.00
2.125	43.02	38.12
2.126	42.61	38.25
2.127	42.18	38.38
2.128	41.76	38.51
2.129	41.34	38.65
2.130	40.92	38.79
2.131	40.51	38.93
2.132	40.11	39.08
2.133	39.72	39.22
2.134	39.34	39.37
2.135	38.97	39.52
2.136	38.62	39.67
2.137	38.28	39.83
2.138	37.95	39.98
2.139	37.63	40.13
2.140	37.33	40.29
2.141	37.04	40.44
2.142	36.78	40.59
2.143	36.54	40.74
2.144	36.33	40.88
2.145	36.14	41.02
2.146	35.98	41.15
2.147	35.85	41.28
2.148	35.75	41.40
2.149	35.68	41.50
2.150	35.64	41.60
2.151	35.62	41.68
2.152	35.62	41.75
2.153	35.65	41.80
2.154	35.70	41.84
2.155	35.77	41.86
2.156	35.85	41.86
2.157	35.96	41.85
2.158	36.08	41.82
2.159	36.22	41.78
2.160	36.36	41.72
2.161	36.52	41.65
2.162	36.69	41.56
2.163	36.87	41.46
2.164	37.07	41.35
2.165	37.27	41.22
